"","DefensiveTeam","RunLocation","RunGap","n"
"1","ARI","left","end",51
"2","ARI","left","guard",23
"3","ARI","left","tackle",39
"4","ARI","middle","tackle",1
"5","ARI","middle",NA,130
"6","ARI","right","end",47
"7","ARI","right","guard",27
"8","ARI","right","tackle",42
"9","ARI",NA,NA,8
"10","ATL","left","end",51
"11","ATL","left","guard",59
"12","ATL","left","tackle",44
"13","ATL","middle",NA,55
"14","ATL","right","end",65
"15","ATL","right","guard",80
"16","ATL","right","tackle",46
"17","ATL",NA,NA,4
"18","BAL","left","end",37
"19","BAL","left","guard",87
"20","BAL","left","tackle",44
"21","BAL","middle",NA,55
"22","BAL","right","end",35
"23","BAL","right","guard",93
"24","BAL","right","tackle",51
"25","BAL",NA,NA,5
"26","BUF","left","end",36
"27","BUF","left","guard",65
"28","BUF","left","tackle",37
"29","BUF","middle",NA,99
"30","BUF","right","end",33
"31","BUF","right","guard",67
"32","BUF","right","tackle",34
"33","BUF",NA,"end",1
"34","BUF",NA,NA,2
"35","CAR","left","end",43
"36","CAR","left","guard",49
"37","CAR","left","tackle",49
"38","CAR","middle",NA,108
"39","CAR","right","end",38
"40","CAR","right","guard",40
"41","CAR","right","tackle",29
"42","CAR",NA,NA,6
"43","CHI","left","end",63
"44","CHI","left","guard",59
"45","CHI","left","tackle",71
"46","CHI","middle",NA,56
"47","CHI","right","end",60
"48","CHI","right","guard",62
"49","CHI","right","tackle",45
"50","CHI",NA,NA,4
"51","CIN","left","end",23
"52","CIN","left","guard",57
"53","CIN","left","tackle",42
"54","CIN","middle",NA,82
"55","CIN","right","end",28
"56","CIN","right","guard",50
"57","CIN","right","tackle",54
"58","CIN",NA,NA,3
"59","CLE","left","end",36
"60","CLE","left","guard",94
"61","CLE","left","tackle",67
"62","CLE","middle",NA,65
"63","CLE","right","end",28
"64","CLE","right","guard",86
"65","CLE","right","tackle",65
"66","CLE",NA,NA,4
"67","DAL","left","end",72
"68","DAL","left","guard",51
"69","DAL","left","tackle",50
"70","DAL","middle","tackle",1
"71","DAL","middle",NA,117
"72","DAL","right","end",62
"73","DAL","right","guard",40
"74","DAL","right","tackle",45
"75","DAL",NA,NA,4
"76","DEN","left","end",27
"77","DEN","left","guard",44
"78","DEN","left","tackle",45
"79","DEN","middle",NA,174
"80","DEN","right","end",24
"81","DEN","right","guard",45
"82","DEN","right","tackle",36
"83","DEN",NA,NA,2
"84","DET","left","end",48
"85","DET","left","guard",24
"86","DET","left","tackle",73
"87","DET","middle",NA,138
"88","DET","right","end",35
"89","DET","right","guard",35
"90","DET","right","tackle",55
"91","DET",NA,NA,4
"92","GB","left","end",63
"93","GB","left","guard",32
"94","GB","left","tackle",47
"95","GB","middle",NA,111
"96","GB","right","end",74
"97","GB","right","guard",41
"98","GB","right","tackle",44
"99","GB",NA,NA,5
"100","HOU","left","end",42
"101","HOU","left","guard",45
"102","HOU","left","tackle",27
"103","HOU","middle",NA,126
"104","HOU","right","end",44
"105","HOU","right","guard",42
"106","HOU","right","tackle",47
"107","HOU",NA,NA,1
"108","IND","left","end",60
"109","IND","left","guard",41
"110","IND","left","tackle",40
"111","IND","middle",NA,140
"112","IND","right","end",58
"113","IND","right","guard",36
"114","IND","right","tackle",59
"115","IND",NA,NA,5
"116","JAC","left","end",87
"117","JAC","left","guard",40
"118","JAC","left","tackle",34
"119","JAC","middle",NA,136
"120","JAC","right","end",64
"121","JAC","right","guard",43
"122","JAC","right","tackle",38
"123","JAC",NA,NA,2
"124","KC","left","end",45
"125","KC","left","guard",43
"126","KC","left","tackle",33
"127","KC","middle","end",1
"128","KC","middle",NA,139
"129","KC","right","end",37
"130","KC","right","guard",41
"131","KC","right","tackle",38
"132","KC",NA,NA,2
"133","MIA","left","end",79
"134","MIA","left","guard",60
"135","MIA","left","tackle",59
"136","MIA","middle",NA,135
"137","MIA","right","end",45
"138","MIA","right","guard",55
"139","MIA","right","tackle",50
"140","MIA",NA,NA,5
"141","MIN","left","end",76
"142","MIN","left","guard",38
"143","MIN","left","tackle",35
"144","MIN","middle","end",29
"145","MIN","middle",NA,87
"146","MIN","right","end",67
"147","MIN","right","guard",28
"148","MIN","right","tackle",40
"149","MIN",NA,NA,1
"150","NE","left","end",36
"151","NE","left","guard",47
"152","NE","left","tackle",39
"153","NE","middle",NA,108
"154","NE","right","end",53
"155","NE","right","guard",55
"156","NE","right","tackle",51
"157","NE",NA,NA,2
"158","NO","left","end",64
"159","NO","left","guard",63
"160","NO","left","tackle",55
"161","NO","middle",NA,59
"162","NO","right","end",55
"163","NO","right","guard",64
"164","NO","right","tackle",47
"165","NO",NA,NA,6
"166","NYG","left","end",53
"167","NYG","left","guard",50
"168","NYG","left","tackle",50
"169","NYG","middle",NA,84
"170","NYG","right","end",68
"171","NYG","right","guard",63
"172","NYG","right","tackle",59
"173","NYG",NA,NA,5
"174","NYJ","left","end",57
"175","NYJ","left","guard",33
"176","NYJ","left","tackle",41
"177","NYJ","middle","end",7
"178","NYJ","middle",NA,97
"179","NYJ","right","end",59
"180","NYJ","right","guard",32
"181","NYJ","right","tackle",34
"182","NYJ",NA,NA,2
"183","OAK","left","end",43
"184","OAK","left","guard",43
"185","OAK","left","tackle",47
"186","OAK","middle",NA,129
"187","OAK","right","end",44
"188","OAK","right","guard",42
"189","OAK","right","tackle",49
"190","OAK",NA,NA,2
"191","PHI","left","end",110
"192","PHI","left","guard",24
"193","PHI","left","tackle",39
"194","PHI","middle","end",15
"195","PHI","middle",NA,101
"196","PHI","right","end",101
"197","PHI","right","guard",24
"198","PHI","right","tackle",42
"199","PHI",NA,NA,3
"200","PIT","left","end",23
"201","PIT","left","guard",41
"202","PIT","left","tackle",32
"203","PIT","middle","end",4
"204","PIT","middle",NA,115
"205","PIT","right","end",34
"206","PIT","right","guard",51
"207","PIT","right","tackle",63
"208","PIT",NA,"end",1
"209","PIT",NA,NA,7
"210","SD","left","end",54
"211","SD","left","guard",31
"212","SD","left","tackle",51
"213","SD","middle",NA,133
"214","SD","right","end",52
"215","SD","right","guard",33
"216","SD","right","tackle",46
"217","SD",NA,NA,3
"218","SEA","left","end",30
"219","SEA","left","guard",27
"220","SEA","left","tackle",56
"221","SEA","middle",NA,86
"222","SEA","right","end",43
"223","SEA","right","guard",47
"224","SEA","right","tackle",62
"225","SEA",NA,NA,1
"226","SF","left","end",34
"227","SF","left","guard",77
"228","SF","left","tackle",66
"229","SF","middle","end",1
"230","SF","middle",NA,116
"231","SF","right","end",46
"232","SF","right","guard",66
"233","SF","right","tackle",71
"234","SF",NA,NA,2
"235","STL","left","end",52
"236","STL","left","guard",45
"237","STL","left","tackle",60
"238","STL","middle","tackle",1
"239","STL","middle",NA,104
"240","STL","right","end",40
"241","STL","right","guard",53
"242","STL","right","tackle",76
"243","STL",NA,NA,6
"244","TB","left","end",49
"245","TB","left","guard",60
"246","TB","left","tackle",53
"247","TB","middle",NA,111
"248","TB","right","end",58
"249","TB","right","guard",72
"250","TB","right","tackle",39
"251","TB",NA,NA,5
"252","TEN","left","end",42
"253","TEN","left","guard",53
"254","TEN","left","tackle",33
"255","TEN","middle",NA,113
"256","TEN","right","end",59
"257","TEN","right","guard",68
"258","TEN","right","tackle",68
"259","TEN",NA,NA,6
"260","WAS","left","end",58
"261","WAS","left","guard",30
"262","WAS","left","tackle",60
"263","WAS","middle",NA,75
"264","WAS","right","end",59
"265","WAS","right","guard",57
"266","WAS","right","tackle",57
"267","WAS",NA,"tackle",1
"268","WAS",NA,NA,6
"269",NA,NA,NA,81
