"","posteam","PassLength","PassLocation","PassOutcome","Receiver","n"
"1","ARI","Deep","left","Complete","D.Johnson",1
"2","ARI","Deep","left","Complete","J.Gresham",1
"3","ARI","Deep","left","Complete","J.Nelson",3
"4","ARI","Deep","left","Complete","L.Fitzgerald",5
"5","ARI","Deep","left","Complete","M.Floyd",5
"6","ARI","Deep","left","Complete",NA,4
"7","ARI","Deep","left","Incomplete Pass","C.Johnson",1
"8","ARI","Deep","left","Incomplete Pass","D.Fells",1
"9","ARI","Deep","left","Incomplete Pass","D.Johnson",1
"10","ARI","Deep","left","Incomplete Pass","J.Gresham",1
"11","ARI","Deep","left","Incomplete Pass","J.Nelson",3
"12","ARI","Deep","left","Incomplete Pass","L.Fitzgerald",1
"13","ARI","Deep","left","Incomplete Pass","M.Floyd",9
"14","ARI","Deep","left","Incomplete Pass",NA,8
"15","ARI","Deep","middle","Complete","D.Fells",1
"16","ARI","Deep","middle","Complete","D.Johnson",1
"17","ARI","Deep","middle","Complete","J.Gresham",1
"18","ARI","Deep","middle","Complete","J.Nelson",3
"19","ARI","Deep","middle","Complete","L.Fitzgerald",5
"20","ARI","Deep","middle","Complete","M.Floyd",6
"21","ARI","Deep","middle","Complete",NA,7
"22","ARI","Deep","middle","Incomplete Pass","J.Nelson",3
"23","ARI","Deep","middle","Incomplete Pass","L.Fitzgerald",1
"24","ARI","Deep","middle","Incomplete Pass","M.Floyd",5
"25","ARI","Deep","middle","Incomplete Pass",NA,10
"26","ARI","Deep","right","Complete","A.Ellington",1
"27","ARI","Deep","right","Complete","D.Fells",2
"28","ARI","Deep","right","Complete","J.Nelson",2
"29","ARI","Deep","right","Complete","L.Fitzgerald",4
"30","ARI","Deep","right","Complete","M.Floyd",4
"31","ARI","Deep","right","Complete",NA,6
"32","ARI","Deep","right","Incomplete Pass","D.Fells",1
"33","ARI","Deep","right","Incomplete Pass","D.Johnson",1
"34","ARI","Deep","right","Incomplete Pass","J.Nelson",1
"35","ARI","Deep","right","Incomplete Pass","L.Fitzgerald",6
"36","ARI","Deep","right","Incomplete Pass","M.Floyd",8
"37","ARI","Deep","right","Incomplete Pass",NA,15
"38","ARI","Short","left","Complete","A.Ellington",3
"39","ARI","Short","left","Complete","C.Johnson",3
"40","ARI","Short","left","Complete","D.Fells",3
"41","ARI","Short","left","Complete","D.Johnson",13
"42","ARI","Short","left","Complete","J.Gresham",6
"43","ARI","Short","left","Complete","L.Fitzgerald",32
"44","ARI","Short","left","Complete","M.Floyd",12
"45","ARI","Short","left","Complete","T.Niklas",1
"46","ARI","Short","left","Complete",NA,25
"47","ARI","Short","left","Incomplete Pass","A.Ellington",6
"48","ARI","Short","left","Incomplete Pass","C.Johnson",4
"49","ARI","Short","left","Incomplete Pass","D.Johnson",6
"50","ARI","Short","left","Incomplete Pass","J.Gresham",3
"51","ARI","Short","left","Incomplete Pass","J.Nelson",1
"52","ARI","Short","left","Incomplete Pass","L.Fitzgerald",11
"53","ARI","Short","left","Incomplete Pass","M.Floyd",7
"54","ARI","Short","left","Incomplete Pass","S.Taylor",1
"55","ARI","Short","left","Incomplete Pass",NA,11
"56","ARI","Short","middle","Complete","A.Ellington",5
"57","ARI","Short","middle","Complete","C.Johnson",1
"58","ARI","Short","middle","Complete","D.Fells",7
"59","ARI","Short","middle","Complete","D.Johnson",6
"60","ARI","Short","middle","Complete","J.Gresham",5
"61","ARI","Short","middle","Complete","L.Fitzgerald",22
"62","ARI","Short","middle","Complete","M.Floyd",7
"63","ARI","Short","middle","Complete","M.Iupati",1
"64","ARI","Short","middle","Complete","S.Taylor",1
