"","posteam","RunLocation","RunGap","n"
"1","",NA,NA,81
"2","ARI","left","end",42
"3","ARI","left","guard",22
"4","ARI","left","tackle",72
"5","ARI","middle","end",8
"6","ARI","middle",NA,135
"7","ARI","right","end",40
"8","ARI","right","guard",30
"9","ARI","right","tackle",72
"10","ARI",NA,NA,2
"11","ATL","left","end",97
"12","ATL","left","guard",36
"13","ATL","left","tackle",48
"14","ATL","middle",NA,39
"15","ATL","right","end",98
"16","ATL","right","guard",48
"17","ATL","right","tackle",33
"18","ATL",NA,NA,8
"19","BAL","left","end",14
"20","BAL","left","guard",84
"21","BAL","left","tackle",58
"22","BAL","middle",NA,71
"23","BAL","right","end",17
"24","BAL","right","guard",59
"25","BAL","right","tackle",75
"26","BAL",NA,NA,3
"27","BUF","left","end",94
"28","BUF","left","guard",44
"29","BUF","left","tackle",49
"30","BUF","middle","end",3
"31","BUF","middle",NA,124
"32","BUF","right","end",68
"33","BUF","right","guard",49
"34","BUF","right","tackle",59
"35","BUF",NA,NA,4
"36","CAR","left","end",67
"37","CAR","left","guard",60
"38","CAR","left","tackle",51
"39","CAR","middle","end",2
"40","CAR","middle",NA,140
"41","CAR","right","end",80
"42","CAR","right","guard",53
"43","CAR","right","tackle",48
"44","CAR",NA,"tackle",1
"45","CAR",NA,NA,7
"46","CHI","left","end",45
"47","CHI","left","guard",71
"48","CHI","left","tackle",56
"49","CHI","middle","end",5
"50","CHI","middle",NA,78
"51","CHI","right","end",43
"52","CHI","right","guard",105
"53","CHI","right","tackle",57
"54","CHI",NA,NA,5
"55","CIN","left","end",38
"56","CIN","left","guard",71
"57","CIN","left","tackle",46
"58","CIN","middle","end",1
"59","CIN","middle",NA,103
"60","CIN","right","end",32
"61","CIN","right","guard",91
"62","CIN","right","tackle",62
"63","CIN",NA,NA,8
"64","CLE","left","end",35
"65","CLE","left","guard",71
"66","CLE","left","tackle",25
"67","CLE","middle",NA,71
"68","CLE","right","end",37
"69","CLE","right","guard",85
"70","CLE","right","tackle",46
"71","CLE",NA,NA,4
"72","DAL","left","end",66
"73","DAL","left","guard",34
"74","DAL","left","tackle",62
"75","DAL","middle","end",1
"76","DAL","middle",NA,79
"77","DAL","right","end",64
"78","DAL","right","guard",52
"79","DAL","right","tackle",40
"80","DAL",NA,NA,2
"81","DEN","left","end",47
"82","DEN","left","guard",50
"83","DEN","left","tackle",63
"84","DEN","middle","end",1
"85","DEN","middle",NA,97
"86","DEN","right","end",33
"87","DEN","right","guard",44
"88","DEN","right","tackle",67
"89","DEN",NA,"end",1
"90","DET","left","end",49
"91","DET","left","guard",25
"92","DET","left","tackle",55
"93","DET","middle","end",3
"94","DET","middle",NA,62
"95","DET","right","end",57
"96","DET","right","guard",19
"97","DET","right","tackle",71
"98","DET",NA,NA,1
"99","GB","left","end",83
"100","GB","left","guard",32
"101","GB","left","tackle",62
"102","GB","middle","end",5
"103","GB","middle",NA,83
"104","GB","right","end",71
"105","GB","right","guard",27
"106","GB","right","tackle",57
"107","GB",NA,NA,4
"108","HOU","left","end",43
"109","HOU","left","guard",56
"110","HOU","left","tackle",52
"111","HOU","middle",NA,148
"112","HOU","right","end",51
"113","HOU","right","guard",50
"114","HOU","right","tackle",53
"115","IND","left","end",40
"116","IND","left","guard",38
"117","IND","left","tackle",32
"118","IND","middle",NA,144
"119","IND","right","end",46
"120","IND","right","guard",39
"121","IND","right","tackle",37
"122","IND",NA,NA,2
"123","JAC","left","end",51
"124","JAC","left","guard",30
"125","JAC","left","tackle",19
"126","JAC","middle",NA,131
"127","JAC","right","end",52
"128","JAC","right","guard",39
"129","JAC","right","tackle",19
"130","JAC",NA,NA,5
"131","KC","left","end",58
"132","KC","left","guard",41
"133","KC","left","tackle",20
"134","KC","middle","end",4
"135","KC","middle",NA,169
"136","KC","right","end",50
"137","KC","right","guard",49
"138","KC","right","tackle",27
"139","KC",NA,NA,5
"140","MIA","left","end",45
"141","MIA","left","guard",32
"142","MIA","left","tackle",24
"143","MIA","middle","end",1
"144","MIA","middle",NA,77
"145","MIA","right","end",56
"146","MIA","right","guard",43
"147","MIA","right","tackle",52
"148","MIA",NA,"end",1
"149","MIA",NA,NA,1
"150","MIN","left","end",39
"151","MIN","left","guard",43
"152","MIN","left","tackle",45
"153","MIN","middle",NA,157
"154","MIN","right","end",69
"155","MIN","right","guard",53
"156","MIN","right","tackle",53
"157","MIN",NA,NA,3
"158","NE","left","end",32
"159","NE","left","guard",50
"160","NE","left","tackle",43
"161","NE","middle","end",5
"162","NE","middle",NA,108
"163","NE","right","end",16
"164","NE","right","guard",62
"165","NE","right","tackle",48
"166","NE",NA,NA,1
"167","NO","left","end",48
"168","NO","left","guard",64
"169","NO","left","tackle",43
"170","NO","middle",NA,49
"171","NO","right","end",46
"172","NO","right","guard",77
"173","NO","right","tackle",53
"174","NYG","left","end",28
"175","NYG","left","guard",71
"176","NYG","left","tackle",56
"177","NYG","middle","end",4
"178","NYG","middle",NA,109
"179","NYG","right","end",23
"180","NYG","right","guard",66
"181","NYG","right","tackle",36
"182","NYG",NA,NA,4
"183","NYJ","left","end",40
"184","NYJ","left","guard",50
"185","NYJ","left","tackle",36
"186","NYJ","middle",NA,146
"187","NYJ","right","end",52
"188","NYJ","right","guard",39
"189","NYJ","right","tackle",69
"190","NYJ",NA,NA,5
"191","OAK","left","end",39
"192","OAK","left","guard",46
"193","OAK","left","tackle",31
"194","OAK","middle","end",2
"195","OAK","middle",NA,116
"196","OAK","right","end",38
"197","OAK","right","guard",48
"198","OAK","right","tackle",35
"199","OAK",NA,NA,5
"200","PHI","left","end",89
"201","PHI","left","guard",26
